arm,causal,layer,rel_depth,probe_helix_f1,probe_helix_auroc,probe_strand_f1,probe_strand_auroc,probe_burial_f1,probe_burial_auroc,contact_p_at_L5,contact_n_proteins
ckpt_mlm_s42_token,False,11,38%,0.5872185911401597,0.6762894570555965,0.43299780689422485,0.6957567877882989,0.6558619788262973,0.7070694648051836,0.02359222067377382,150
ckpt_clm_s42,True,11,38%,0.6486466023092939,0.7588225658629397,0.5124834290764472,0.7924742129801543,0.6730023273855702,0.7344748576711742,0.03071318133594205,150
ckpt_mlm_s43_token,False,11,38%,0.6012526096033403,0.6828175516715858,0.4238875878220141,0.6884505933593266,0.6591456947256774,0.7070788166708883,0.03881814068768203,150
ckpt_clm_s43,True,11,38%,0.643370070273799,0.7570072693154293,0.5144089629141454,0.7868751837325164,0.6737496760818865,0.7351710149059352,0.02873280002678368,150
ckpt_mlm_s44_token,False,11,38%,0.5796974347730761,0.6700060055407642,0.42832848757474357,0.6906162453067624,0.6597195169458512,0.7118318021558885,0.03499088365064015,150
ckpt_clm_s44,True,11,38%,0.641667927955199,0.7504904546716579,0.5067078364565588,0.7895522954315715,0.6744171026286895,0.7356381794217896,0.03296623588225152,150
