feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.3492354,0.23938853,0.12810121,0.08739276,0.22113417,0.15199576
1,1.215837,0.33085972,0.47965565,0.34222597,0.7361814,-0.011366248
2,0.57580584,0.17505164,0.2247921,0.16204551,0.35101375,0.013006136
3,0.8797022,0.3017211,0.46855864,0.30621806,0.41114357,-0.004496962
4,0.18271726,0.017341603,0.078780815,0.04565317,0.10393645,-0.02831157
5,0.897431,0.1942005,0.26180124,0.1831611,0.6356298,0.011039406
6,0.66364163,0.32274944,0.39243776,0.2678613,0.27120388,0.05488813
7,0.21122685,0.12777022,0.13193588,0.10128252,0.07929097,0.026487693
8,0.108563624,0.08029339,0.053224295,0.038614787,0.05533933,0.0416786
9,0.09399113,0.0050407895,0.03321893,0.02686057,0.0607722,-0.021819782
10,1.2463098,0.24372439,0.32107732,0.22961333,0.9252324,0.014111057
11,0.6887119,0.15470812,0.20363148,0.15714648,0.48508042,-0.0024383664
12,0.19036332,0.06144655,0.03712568,0.030767,0.15323764,0.030679552
13,0.89514023,0.22942473,0.35380775,0.23417564,0.5413325,-0.0047509074
14,0.54723877,0.079939514,0.11476103,0.0833766,0.43247774,-0.003437087
15,0.125997,0.04673629,0.029438253,0.025669402,0.09655875,0.021066887
16,0.9452207,0.27269518,0.35903773,0.25476176,0.58618295,0.017933428
17,0.6172972,0.26109734,0.30589145,0.23459709,0.31140572,0.026500255
18,1.0033559,0.5155704,0.5360802,0.4291052,0.46727568,0.08646521
19,0.56048316,0.23832968,0.30499932,0.21627894,0.25548384,0.022050738
20,0.024286957,-0.03401385,0.023532012,0.015510453,0.000754945,-0.0495243
21,0.098370165,0.03331981,0.013572881,0.015262852,0.084797285,0.018056955
22,0.18010955,0.06705155,0.090005726,0.04708735,0.09010382,0.019964203
23,0.83171993,0.23932214,0.33738938,0.24293578,0.49433056,-0.003613636
24,0.9522001,0.37194803,0.5079211,0.3848018,0.44427902,-0.012853771
25,0.6603826,0.24226978,0.37500244,0.2609529,0.28538018,-0.018683106
26,0.809347,0.28481272,0.3617231,0.27066582,0.44762388,0.014146894
27,0.3725597,0.15084466,0.19262183,0.13385327,0.17993787,0.016991392
28,0.35253552,0.1472688,0.19269803,0.13735642,0.15983748,0.009912387
29,1.2059312,0.35489658,0.4157812,0.27942297,0.79015,0.07547361
30,0.646497,0.26182368,0.2985599,0.20826545,0.3479371,0.05355823
31,0.900858,0.21094172,0.28010768,0.20084126,0.6207503,0.010100454
32,0.7699254,0.19010569,0.2753773,0.19739643,0.4945481,-0.007290736
33,0.014850025,0.091555424,0.025775954,0.01276433,-0.010925929,0.0787911
34,0.21256083,0.04652516,0.14725408,0.08155597,0.06530675,-0.03503081
35,1.3945587,0.26355258,0.38965368,0.2754885,1.004905,-0.0119359195
36,0.1427223,-0.0015090563,0.106342874,0.060279153,0.03637942,-0.06178821
37,0.75845957,0.20117547,0.26295227,0.19035432,0.4955073,0.010821149
38,0.51292473,0.22084242,0.17236766,0.1259096,0.34055707,0.094932824
39,0.004978398,-0.032771375,0.032230638,0.01875196,-0.02725224,-0.051523335
40,0.8351294,0.18088722,0.29336053,0.172512,0.54176885,0.008375227
41,0.34784308,0.15143166,0.20779137,0.15393385,0.14005171,-0.002502188
42,1.4724556,0.23542842,0.33008265,0.24787064,1.142373,-0.012442216
43,0.822743,0.2769172,0.33036512,0.26452065,0.49237788,0.012396544
44,0.23410353,0.08704881,0.08667425,0.057823397,0.14742929,0.029225416
45,1.0517732,0.21178113,0.32376283,0.22049718,0.72801036,-0.008716047
46,0.704974,0.32382876,0.35748422,0.26986837,0.34748977,0.053960383
47,0.7930032,0.12671997,0.18429081,0.11285766,0.6087124,0.013862304
48,1.0462799,0.12107446,0.22989652,0.15254907,0.81638336,-0.031474613
49,0.71038085,0.2717429,0.27565756,0.18902822,0.4347233,0.08271469
50,0.61779034,0.23801658,0.3249964,0.2203196,0.29279393,0.017696977
51,1.125073,0.3111972,0.3597637,0.26514414,0.7653092,0.046053052
52,0.7032779,0.1610736,0.2705513,0.17677431,0.4327266,-0.015700713
53,0.8959915,0.08092248,0.16241933,0.119844414,0.7335722,-0.038921937
54,1.3594401,0.28951558,0.40605244,0.30477744,0.9533876,-0.015261859
55,0.075114116,0.098051935,0.05222621,0.03255955,0.022887908,0.065492384
56,1.2568551,0.28511444,0.47594458,0.30488667,0.78091055,-0.019772232
57,1.4637067,0.34131372,0.5482402,0.38157278,0.91546655,-0.040259063
58,1.0297114,0.31351,0.4158426,0.29550156,0.6138688,0.01800844
59,0.8460634,0.29383963,0.3512675,0.23656912,0.4947959,0.057270512
60,0.056009453,0.03798642,0.019732052,0.01890982,0.0362774,0.0190766
61,0.20125583,0.096763246,0.14153656,0.08174468,0.059719265,0.015018567
62,-0.01489409,0.0064527662,0.009338158,0.0069505842,-0.024232248,-0.000497818
63,-0.07525725,0.04527449,0.036748655,0.02934891,-0.112005904,0.015925579
64,0.102989465,0.041603893,0.08484112,0.05808293,0.018148348,-0.016479038
65,0.13387857,0.06389334,0.051350195,0.036707122,0.08252838,0.027186219
66,0.95635074,0.17195758,0.19013806,0.13838628,0.7662127,0.033571303
67,0.042010024,0.04067532,0.030788943,0.029421534,0.011221081,0.011253785
68,0.21726978,0.052616056,0.07600259,0.053754937,0.14126718,-0.0011388808
69,1.1397221,0.27181736,0.40657693,0.27441865,0.7331452,-0.0026012957
70,0.62487346,0.095919445,0.16511105,0.10679133,0.4597624,-0.010871887
71,0.1558803,0.098575175,0.090084344,0.050092675,0.06579596,0.0484825
72,0.8957524,0.19632418,0.40487558,0.24824104,0.4908768,-0.051916853
73,1.1723211,0.20410523,0.32021737,0.20618327,0.8521037,-0.0020780414
74,0.15614372,0.0805588,0.083597936,0.05183375,0.07254579,0.02872505
75,1.1611773,0.1978018,0.2892579,0.19081174,0.8719194,0.00699006
76,0.41857734,0.062062122,0.16980138,0.10231557,0.24877596,-0.040253446
77,0.102269284,0.05115,0.016765188,0.010490911,0.0855041,0.040659092
78,1.1900806,0.1757192,0.3564007,0.2352587,0.8336799,-0.059539497
79,0.7431345,0.11916323,0.21737082,0.138778,0.5257637,-0.019614771
80,0.15138657,0.07197873,0.049536414,0.018832894,0.10185016,0.05314584
81,0.54651105,0.1556282,0.21107063,0.1495285,0.33544043,0.006099701
82,0.28619686,0.062240392,0.11563494,0.073526554,0.17056191,-0.011286162
83,0.3034259,0.08870561,0.110501945,0.07845384,0.19292396,0.010251768
84,0.96125484,0.15717612,0.24510531,0.15766795,0.7161495,-0.0004918277
85,-0.0009554794,-0.018495545,0.030989598,0.02137019,-0.03194508,-0.039865732
86,0.10608244,-0.016388386,0.060464192,0.037613254,0.045618247,-0.05400164
87,1.0324632,0.36155304,0.42730623,0.29299754,0.60515696,0.068555504
88,0.60269356,0.2539923,0.299547,0.23172216,0.30314657,0.022270128
89,0.21758626,0.08722707,0.09907338,0.07591854,0.118512884,0.0113085285
90,0.06334036,0.05595523,0.0201878,0.0202666,0.043152556,0.03568863
91,0.45991495,0.14889404,0.13781302,0.10473104,0.32210195,0.044163004
92,0.42581853,0.083767176,0.16883193,0.10017445,0.25698662,-0.016407274
93,0.115503505,0.011283366,0.034951687,0.030826617,0.08055182,-0.019543251
94,0.057481725,0.047053996,0.04860492,0.042007048,0.008876804,0.005046949
95,0.84695125,0.14336239,0.1771055,0.12565804,0.66984576,0.017704353
96,-0.00715921,0.043201204,0.01512081,0.015251974,-0.022280019,0.02794923
97,1.2406826,0.06834558,0.1066272,0.072821155,1.1340554,-0.0044755787
98,0.33905718,0.13767156,0.17619067,0.12144919,0.1628665,0.016222373
99,0.118496716,-0.030132042,0.035475723,0.01981273,0.08302099,-0.049944773
100,0.58606005,0.24296895,0.23842439,0.18205422,0.34763566,0.060914725
