feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.43219814,0.10818046,0.10171165,0.067965366,0.33048648,0.040215097
1,0.25460678,0.039995357,0.072154805,0.047318906,0.18245198,-0.007323548
2,0.32289818,0.04587681,0.049834203,0.036495954,0.273064,0.009380855
3,0.45363364,0.022161942,0.06490908,0.03897922,0.38872457,-0.01681728
4,0.13128567,0.030998914,0.030847013,0.024482148,0.100438654,0.006516766
5,0.29581606,0.056669176,0.085797034,0.064131275,0.21001902,-0.007462099
6,0.27370343,0.049307205,0.075384945,0.04476222,0.19831848,0.0045449845
7,0.5210132,0.02447146,0.05797345,0.04308775,0.46303976,-0.01861629
8,0.42626458,0.08221432,0.0700982,0.051593576,0.3561664,0.030620743
9,0.29924715,0.03210961,0.062347084,0.038461465,0.23690006,-0.0063518547
10,0.16374813,0.025947418,0.035331782,0.026953392,0.12841634,-0.0010059737
11,0.43134052,0.055266973,0.048427537,0.034773808,0.382913,0.020493165
12,0.37823293,0.05289105,0.064101435,0.04811479,0.3141315,0.004776258
13,0.48540282,0.08791062,0.12512283,0.093023814,0.36027998,-0.005113192
14,0.26029083,0.033483576,0.046522107,0.031825446,0.21376872,0.0016581304
15,0.3667826,0.025872666,0.049573015,0.03683211,0.3172096,-0.010959443
16,0.34240782,0.057894308,0.06622385,0.044272915,0.27618396,0.013621394
17,0.3804448,0.076235525,0.055663634,0.040825944,0.32478115,0.03540958
18,0.43455037,0.0752101,0.08100827,0.061533123,0.3535421,0.013676979
19,0.34338066,0.03847814,0.05446831,0.0405706,0.28891236,-0.002092462
20,0.5523115,0.02703479,0.08692558,0.053556353,0.4653859,-0.026521564
21,0.37244236,0.04687513,0.05539017,0.047870006,0.3170522,-0.000994876
22,0.43992937,0.05452947,0.08855759,0.04834765,0.35137177,0.006181821
23,0.2902631,0.011674462,0.023312287,0.01799269,0.2669508,-0.0063182283
24,0.3680497,0.099953875,0.0872662,0.064467534,0.2807835,0.03548634
25,0.3046526,0.03627498,0.05075397,0.040903702,0.25389862,-0.0046287216
26,0.6149658,0.09054782,0.11398405,0.081578225,0.50098175,0.0089695975
27,0.14128172,0.0384653,0.024325382,0.019164138,0.11695634,0.019301161
28,0.5821764,0.08608943,0.1359069,0.095140666,0.44626948,-0.0090512335
29,0.3740681,0.042289693,0.049718264,0.034383133,0.32434985,0.00790656
30,0.24966282,0.11228062,0.079906575,0.05933311,0.16975623,0.052947514
31,0.29444304,0.05633195,0.061014928,0.046053916,0.23342812,0.010278035
32,0.37262893,0.028566197,0.051025134,0.041640542,0.3216038,-0.013074346
33,0.3640062,0.025166774,0.048020534,0.032928225,0.31598565,-0.0077614505
34,0.4282527,0.04512408,0.06856496,0.048403814,0.35968775,-0.0032797344
35,0.42327148,0.029750032,0.050492197,0.035950214,0.37277928,-0.0062001813
36,0.4262696,0.051955093,0.07352372,0.053414118,0.35274586,-0.0014590248
37,0.4680331,0.046131786,0.041363586,0.02755704,0.4266695,0.018574746
38,0.2814297,0.07770907,0.057975903,0.04154338,0.2234538,0.036165692
39,0.5808724,0.06985634,0.11440034,0.08125636,0.4664721,-0.011400022
40,0.11077663,0.087022364,0.060890283,0.032827847,0.04988635,0.054194517
41,0.24474303,0.06580855,0.049143735,0.028626537,0.1955993,0.03718201
42,0.36068732,0.008425199,0.030857878,0.021594323,0.32982942,-0.013169124
43,0.5765821,0.115982644,0.12651418,0.1015771,0.45006788,0.014405541
44,0.45191592,0.060781516,0.10474137,0.071766526,0.34717456,-0.010985009
45,0.3759478,0.07979332,0.09134421,0.054321345,0.2846036,0.025471974
46,0.41131318,0.043928206,0.06410397,0.04724865,0.34720922,-0.0033204444
47,0.6451646,0.06071349,0.09567681,0.06359354,0.5494878,-0.002880048
48,0.5173908,0.047452014,0.08164254,0.05511144,0.43574825,-0.007659428
49,0.56802666,0.036299452,0.07259528,0.05031618,0.49543136,-0.014016729
50,0.47514203,0.07175586,0.073856495,0.05554028,0.40128553,0.016215578
51,0.64048094,0.046688475,0.10513541,0.07076075,0.53534555,-0.024072275
52,0.22505204,0.030898683,0.030656965,0.021227164,0.19439508,0.009671519
53,0.67315954,0.04325499,0.07918981,0.05776116,0.5939697,-0.014506169
54,0.4617937,0.05089195,0.07670047,0.05012083,0.3850932,0.0007711202
55,0.45505613,0.061480343,0.059638537,0.043575503,0.3954176,0.01790484
56,0.27263984,0.025060385,0.090568714,0.057606082,0.18207112,-0.032545697
57,0.43567577,0.033742107,0.06672153,0.044039216,0.36895424,-0.010297108
58,0.36925033,0.027810154,0.061321713,0.043638837,0.30792862,-0.015828682
59,0.42327547,0.057001915,0.08878333,0.058677725,0.33449215,-0.0016758107
60,0.3519816,0.021909973,0.048595052,0.030440269,0.30338657,-0.008530296
61,0.117337584,-0.030236611,0.05358958,0.025253186,0.063748,-0.055489797
62,0.42234102,0.0676315,0.062497765,0.048773184,0.35984325,0.018858314
63,0.44983625,0.0415221,0.072599664,0.05471557,0.3772366,-0.0131934695
64,0.45840672,0.05004305,0.06811944,0.04903443,0.39028728,0.0010086186
65,0.3917841,0.035489373,0.06121443,0.040327054,0.33056968,-0.0048376806
66,0.4000418,0.07641929,0.055550408,0.038849615,0.3444914,0.037569672
67,0.42541778,0.04980164,0.0516385,0.042988453,0.3737793,0.006813187
68,0.32963616,0.06652417,0.079752244,0.061876446,0.24988392,0.0046477243
69,0.35553017,0.05262458,0.080927916,0.05779759,0.27460226,-0.005173009
70,0.41805837,0.042117663,0.09167355,0.062459882,0.3263848,-0.02034222
71,0.45978406,0.05907411,0.067765094,0.04102305,0.39201897,0.018051062
72,0.2952203,0.039229292,0.07083734,0.042537805,0.22438294,-0.0033085123
73,0.55394125,0.0104936,0.02609881,0.019459968,0.52784246,-0.008966369
74,0.32958353,0.018337334,0.02505908,0.013987353,0.30452445,0.0043499805
75,0.5438443,0.0739674,0.0849891,0.06514594,0.45885518,0.008821458
76,0.38166544,0.055109043,0.093710415,0.06353751,0.28795502,-0.008428466
77,0.35555142,0.06403042,0.09303676,0.0635445,0.26251465,0.00048591942
78,0.33858973,0.06274525,0.06394199,0.046301547,0.27464774,0.016443703
79,0.43933177,0.0011962979,0.041328896,0.021335483,0.39800286,-0.020139184
80,0.35076624,0.06299631,0.043590836,0.032174736,0.3071754,0.030821577
81,0.25848588,0.021676974,0.046140276,0.030224398,0.2123456,-0.008547423
82,0.48571354,0.041312475,0.06941294,0.044997077,0.4163006,-0.0036846027
83,0.23350948,0.072367206,0.068544745,0.05467372,0.16496474,0.017693486
84,0.46416855,0.060816284,0.07317131,0.050666012,0.39099723,0.010150272
85,0.22634992,-0.0024396107,0.06142653,0.033662576,0.16492338,-0.036102187
86,0.3358565,0.06507168,0.08055302,0.050214358,0.25530347,0.014857322
87,0.4297163,0.068584606,0.071505144,0.05237546,0.35821116,0.016209148
88,0.52683157,0.0897011,0.12552615,0.0926161,0.40130544,-0.0029150024
89,0.385028,0.056173366,0.07894078,0.055819627,0.30608723,0.00035373867
90,0.33421284,0.052105866,0.03547933,0.030251333,0.2987335,0.021854533
91,0.43081394,0.019096985,0.029361254,0.020799542,0.4014527,-0.0017025564
92,0.43674326,0.019362343,0.034621764,0.02197859,0.40212148,-0.0026162472
93,0.57711476,0.059832588,0.09851226,0.07463943,0.4786025,-0.014806844
94,0.21133748,0.04783447,0.051455103,0.03433854,0.15988237,0.01349593
95,0.24806643,0.031663794,0.04465941,0.03306152,0.20340702,-0.0013977252
96,0.4894978,0.08960156,0.100762054,0.07846057,0.38873577,0.011140995
97,0.473991,0.0034619223,0.02369,0.015077461,0.450301,-0.011615538
98,0.42774358,0.04826607,0.10688877,0.07184444,0.3208548,-0.023578372
99,0.158454,0.027086824,0.03638052,0.022794189,0.12207349,0.0042926352
100,0.50346506,0.044476725,0.069905624,0.049477696,0.43355942,-0.0050009713
101,0.5705089,0.059101414,0.09105266,0.06863151,0.47945625,-0.0095300935
102,0.45191395,0.06768777,0.06808555,0.053795625,0.3838284,0.013892148
103,0.62327784,0.04298572,0.0725325,0.06077529,0.55074537,-0.017789572
104,0.3389332,0.07857779,0.07549324,0.059766218,0.26343995,0.018811569
105,0.448922,0.04821784,0.053850073,0.038688775,0.39507192,0.009529065
106,0.25382298,0.033866134,0.042201336,0.030391548,0.21162164,0.0034745857
107,0.5020643,0.033955052,0.090254076,0.064872935,0.41181022,-0.030917883
108,0.45282263,0.050822668,0.057084408,0.03714213,0.3957382,0.013680536
109,0.23716733,0.0153394705,0.027092366,0.01406046,0.21007496,0.0012790104
110,0.44015065,0.009159039,0.048427667,0.0318096,0.39172298,-0.022650559
111,0.39065513,0.031296387,0.06166817,0.043913756,0.32898697,-0.012617368
112,0.31247345,0.03344357,0.044682097,0.03443578,0.26779136,-0.0009922087
113,0.23032042,0.09714931,0.06907414,0.04194946,0.16124628,0.055199854
114,0.4257473,0.03165372,0.058310855,0.042375956,0.36743644,-0.010722235
115,0.5552166,0.06849644,0.10458167,0.06596887,0.45063496,0.0025275722
116,0.21798706,0.01856099,0.024450362,0.017938416,0.1935367,0.00062257424
117,0.69960994,0.118287675,0.12878639,0.0830446,0.57082355,0.03524307
118,0.35002503,0.106322974,0.13835198,0.10335268,0.21167305,0.0029702932
119,0.43238723,0.04691794,0.074562915,0.0549257,0.35782433,-0.008007757
120,0.42769787,0.0477635,0.06370445,0.044479452,0.3639934,0.0032840483
121,0.34380135,0.09791661,0.071501926,0.056697313,0.2722994,0.041219298
122,0.3883581,0.025501106,0.04801006,0.03363068,0.34034804,-0.008129574
123,0.36499828,0.12598091,0.08929432,0.062877804,0.27570397,0.06310311
124,0.68998706,0.09909771,0.1366425,0.09568745,0.55334455,0.0034102574
125,0.37232962,0.057840176,0.070487835,0.055856835,0.3018418,0.0019833408
126,0.49954936,0.076783106,0.08949546,0.060141016,0.4100539,0.01664209
127,0.49483532,0.062151507,0.1014046,0.06831955,0.3934307,-0.006168045
128,0.38440233,0.03797164,0.06220637,0.050220333,0.32219598,-0.012248695
129,0.38871825,0.056434296,0.07350962,0.053324766,0.3152086,0.0031095296
130,0.46356362,0.043156598,0.064891964,0.048233114,0.39867166,-0.0050765164
131,0.4398577,0.014494323,0.056816116,0.042918075,0.38304156,-0.028423753
132,0.27852708,0.0049922573,0.03813938,0.025979947,0.24038771,-0.02098769
133,0.41146702,0.10351036,0.080613844,0.051428903,0.33085316,0.052081455
134,0.37390238,0.069615506,0.06133525,0.046251703,0.3125671,0.023363803
135,0.7177211,0.11987992,0.13849694,0.09761774,0.57922417,0.022262178
136,0.45253277,0.07212449,0.091731176,0.06764713,0.36080158,0.0044773594
137,0.15498304,0.029044671,0.0238211,0.01859863,0.13116194,0.010446042
138,0.21313852,0.023360785,0.048370425,0.03398479,0.1647681,-0.010624006
139,0.33558846,0.028614579,0.043580737,0.029670555,0.2920077,-0.0010559764
140,0.38609964,0.0487604,0.07051428,0.055915266,0.31558537,-0.007154867
141,0.38298213,0.028313065,0.047869563,0.033076867,0.33511257,-0.0047638025
142,0.20154811,0.010252234,0.0320384,0.020067438,0.16950971,-0.009815205
143,0.2942946,0.024981655,0.062229287,0.04684757,0.2320653,-0.021865916
144,0.33801857,0.07506847,0.10044174,0.07352429,0.23757683,0.0015441775
145,0.30673885,0.056842316,0.054845624,0.034123406,0.25189322,0.02271891
146,0.5752088,0.049464952,0.06370177,0.051529028,0.51150703,-0.0020640753
147,0.24208693,0.014295016,0.03692018,0.026767366,0.20516676,-0.012472349
148,0.54515207,0.07304227,0.08313834,0.061833773,0.46201372,0.011208501
149,0.25055236,-0.008548123,0.08310727,0.044382337,0.1674451,-0.05293046
150,0.42227802,0.0751204,0.06912365,0.035760023,0.35315436,0.039360374
151,0.47365865,0.019552609,0.06254398,0.038321815,0.41111466,-0.018769206
152,0.2019556,0.059787586,0.032199312,0.021748822,0.1697563,0.038038764
153,0.35931948,0.057063203,0.057531204,0.041899167,0.30178827,0.015164036
154,0.46266532,0.042567953,0.08353874,0.051520143,0.37912658,-0.008952189
155,0.18807109,0.07320624,0.04182921,0.031241203,0.14624187,0.041965038
156,0.16655079,0.03650728,0.05306874,0.030463165,0.11348204,0.006044114
157,0.3285797,0.05672719,0.04340135,0.026900226,0.28517833,0.029826963
158,0.3007984,0.054875717,0.050281495,0.033927932,0.2505169,0.020947784
159,0.63741744,0.122812204,0.14506564,0.10176761,0.4923518,0.021044597
160,0.2154222,0.054496262,0.052807752,0.025650315,0.16261445,0.028845947
161,0.35543594,0.06934706,0.08331936,0.054874692,0.27211657,0.014472369
162,0.39897466,0.023836339,0.04852339,0.0361375,0.35045126,-0.01230116
163,0.4966069,0.089985006,0.1242832,0.0837748,0.3723237,0.006210208
164,0.2929208,0.026886564,0.048478182,0.034937985,0.24444261,-0.0080514215
165,0.41202664,0.055937905,0.070376724,0.050399,0.34164992,0.005538903
166,0.41021818,0.008276449,0.016888397,0.013663041,0.39332977,-0.005386593
167,0.39949664,0.024102695,0.052364837,0.038692687,0.34713182,-0.014589991
168,0.55409324,0.046078414,0.10414609,0.06711717,0.44994715,-0.021038756
169,0.2993902,0.07181237,0.07059218,0.05350775,0.22879802,0.01830462
170,0.30348578,0.04389797,0.056837767,0.042876493,0.24664801,0.0010214783
171,0.19821821,0.037510347,0.052388705,0.03299069,0.1458295,0.0045196563
172,0.42225683,0.07710539,0.06987541,0.05172845,0.3523814,0.025376938
173,0.58034956,0.06718805,0.080693655,0.053095914,0.4996559,0.014092132
174,0.31637,0.04822388,0.04935895,0.038260754,0.26701105,0.009963125
175,0.1781012,0.01121475,0.01889387,0.011717317,0.15920733,-0.0005025668
176,0.5173498,0.06732144,0.09135716,0.06397946,0.4259926,0.0033419803
177,0.44253966,0.031723164,0.069757216,0.042857565,0.37278244,-0.011134401
178,0.639846,0.074008584,0.0974355,0.07279221,0.54241055,0.0012163743
179,0.41178346,0.06531337,0.093959026,0.06355902,0.31782442,0.001754351
180,0.56289357,0.088100016,0.10424498,0.08047314,0.4586486,0.0076268762
181,0.41242096,0.06222858,0.074555606,0.053168006,0.33786535,0.009060573
182,0.48297253,0.06373403,0.07317561,0.050676454,0.40979692,0.013057578
183,0.6820349,0.06490686,0.094787695,0.068594,0.5872472,-0.0036871433
184,0.5552537,0.018369537,0.059872817,0.03281817,0.49538088,-0.014448632
185,0.5011908,0.07627075,0.09135529,0.066554576,0.4098355,0.0097161755
186,0.34045252,0.04831451,0.06619667,0.043621678,0.27425584,0.004692834
187,0.21755134,0.027765444,0.039723042,0.02710758,0.1778283,0.0006578639
188,0.49625883,0.09465421,0.101079725,0.07402407,0.3951791,0.020630144
189,0.61693734,0.05781327,0.08702087,0.06255598,0.52991647,-0.0047427155
190,0.3876658,0.0967048,0.11944305,0.088203534,0.26822275,0.008501269
191,0.4597296,0.022500278,0.06028237,0.04239076,0.39944723,-0.019890482
192,0.5152321,0.07259352,0.06991464,0.05121139,0.44531745,0.021382127
193,0.63619566,0.07076752,0.0800562,0.05835939,0.55613947,0.012408134
194,0.2899227,-0.013379097,0.0039141756,0.003890872,0.28600854,-0.017269969
195,0.2897472,0.009762627,0.032351993,0.023234598,0.2573952,-0.013471971
196,0.40206838,0.028993253,0.05053319,0.038093157,0.3515352,-0.009099904
197,0.46868688,0.05827101,0.08374725,0.057817325,0.3849396,0.00045368448
198,0.4851989,0.04386007,0.09977733,0.07273922,0.38542154,-0.02887915
199,0.4014469,0.041280653,0.075903915,0.04670332,0.325543,-0.0054226667
200,0.4394347,0.041429985,0.06773408,0.04751745,0.37170064,-0.0060874633
201,0.45133767,0.057293527,0.07638643,0.059861053,0.37495124,-0.002567526
202,0.42928812,0.049086537,0.0630453,0.04248255,0.36624283,0.006603986
203,0.1657052,0.031262454,0.028557224,0.020001704,0.13714798,0.01126075
204,0.3767613,0.059639297,0.0604099,0.046385918,0.31635138,0.01325338
205,0.46375605,0.039883066,0.058193427,0.040299874,0.40556264,-0.00041680783
206,0.3123598,0.04808725,0.084573,0.05266596,0.22778681,-0.0045787096
207,0.5241304,0.062342316,0.06930786,0.05488311,0.45482254,0.0074592046
208,0.45283654,0.116964,0.14250016,0.10269012,0.31033638,0.014273874
209,0.33143076,0.02516398,0.05971875,0.04253015,0.271712,-0.017366169
210,0.54494715,0.072393104,0.08736546,0.058568165,0.4575817,0.01382494
211,0.32822,0.03364786,0.043922797,0.029606666,0.28429723,0.004041195
212,0.58834255,0.05437684,0.08400848,0.055145063,0.5043341,-0.0007682219
213,0.42177057,0.08084436,0.059258338,0.04189982,0.36251223,0.03894454
214,0.33558655,0.060792096,0.042234506,0.03253888,0.29335204,0.028253216
215,0.55019206,0.016380696,0.055617977,0.03361708,0.49457407,-0.017236384
216,0.569833,0.06852542,0.07791235,0.05473658,0.49192062,0.013788838
217,0.34257305,0.036902882,0.06392526,0.03956949,0.27864778,-0.0026666075
218,0.07957942,0.010581217,0.011323686,0.009759404,0.06825574,0.000821813
219,0.32540366,0.049020335,0.09928105,0.06559453,0.22612262,-0.016574197
220,0.29437163,0.033878956,0.044168256,0.03374503,0.25020337,0.00013392419
221,0.5224527,0.08404261,0.1289433,0.08754765,0.39350942,-0.0035050437
222,0.29833582,0.031056698,0.06163136,0.04994825,0.23670447,-0.01889155
223,0.7296482,0.05692744,0.07502112,0.057929534,0.6546271,-0.0010020956
224,0.3508953,0.039586175,0.0711128,0.050192345,0.27978247,-0.01060617
225,0.26954532,0.021954512,0.036255546,0.025899913,0.23328978,-0.003945401
226,0.42202607,0.053585645,0.073376544,0.05446802,0.34864953,-0.000882376
227,0.4663945,0.05401187,0.062498245,0.047596112,0.40389627,0.0064157583
228,0.40986207,0.047574576,0.049017314,0.034507286,0.36084476,0.01306729
229,0.3512165,0.056392156,0.080268584,0.06089097,0.2709479,-0.0044988133
230,0.49025518,0.062207624,0.08534725,0.065882586,0.40490794,-0.0036749616
231,0.15186144,0.032179017,0.039287142,0.032638144,0.1125743,-0.00045912713
232,0.5695348,0.057104763,0.09649369,0.06638035,0.4730411,-0.009275589
233,0.48026744,0.055475205,0.08538528,0.062512115,0.39488214,-0.0070369095
234,0.28464243,0.043711744,0.044912413,0.029413754,0.23973002,0.01429799
235,0.6049094,0.06474774,0.10514184,0.08015591,0.49976757,-0.015408166
236,0.51938385,0.10835144,0.05205058,0.034798697,0.46733326,0.07355274
237,0.21403441,0.03286426,0.04371871,0.03565723,0.1703157,-0.0027929693
238,0.38477695,0.034427583,0.07206045,0.052916363,0.31271648,-0.01848878
239,0.52374876,0.095861964,0.11324167,0.08182301,0.41050708,0.01403895
240,0.5551605,0.054619655,0.080106996,0.05243453,0.47505352,0.002185125
241,0.40799198,0.049265433,0.06784761,0.044981703,0.34014437,0.00428373
242,0.30203083,0.08752645,0.08379061,0.0672002,0.21824023,0.02032625
243,0.59740746,0.06250738,0.10897358,0.07638203,0.4884339,-0.01387465
244,0.4179494,0.014019585,0.076748006,0.047140423,0.3412014,-0.033120837
245,0.40822,0.036027156,0.056979693,0.042996656,0.3512403,-0.0069695003
246,0.1595824,0.01978557,0.03624431,0.02962029,0.123338096,-0.00983472
247,0.48615587,0.04897626,0.070396125,0.046272874,0.41575974,0.0027033873
248,0.44932795,0.046204805,0.053738475,0.040484782,0.39558947,0.005720023
249,0.2779182,0.018827964,0.050785467,0.030373132,0.22713272,-0.011545168
250,0.26943982,0.05565453,0.05701035,0.04658663,0.21242946,0.0090679005
251,0.3893569,0.022402434,0.077323325,0.049305633,0.3120336,-0.026903199
252,0.4316225,0.017160818,0.042600002,0.030248333,0.3890225,-0.013087515
253,0.34698197,0.049746964,0.056853324,0.038071994,0.29012865,0.01167497
254,0.35774758,0.06424106,0.085415944,0.06222984,0.27233166,0.002011221
255,0.27245015,0.08505118,0.03378787,0.025535507,0.23866227,0.05951567
256,0.40200204,0.01638082,0.043116856,0.033716623,0.35888517,-0.017335802
257,0.4412496,0.036693823,0.05945557,0.044039603,0.38179404,-0.0073457807
258,0.65210444,0.06385668,0.074291326,0.05160058,0.5778131,0.0122561045
259,0.2057919,0.050900847,0.04538577,0.034645844,0.16040614,0.016255002
260,0.5205116,0.07954184,0.09652762,0.06409696,0.423984,0.015444882
261,0.29927212,0.07495075,0.07668088,0.056271534,0.22259125,0.018679213
262,0.42088303,0.04048895,0.062204022,0.047721338,0.358679,-0.0072323866
