feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.7971057,0.112485215,0.15822701,0.12005951,0.6388787,-0.0075742975
1,0.6476368,0.035583317,0.07922422,0.056520272,0.56841254,-0.020936955
2,0.5557668,0.047912523,0.06871804,0.053828873,0.48704877,-0.0059163496
3,0.52847135,0.11726093,0.1165544,0.0892145,0.41191694,0.028046437
4,0.42561904,0.04036902,0.11712092,0.08565739,0.3084981,-0.04528837
5,0.41768533,0.10405241,0.10691671,0.075041324,0.3107686,0.029011086
6,0.5689544,0.059459303,0.045248095,0.036830455,0.5237063,0.022628848
7,0.45252094,0.046484515,0.08381115,0.056961298,0.3687098,-0.010476783
8,0.68521047,0.04708191,0.09530668,0.07019408,0.5899038,-0.02311217
9,0.13258897,0.023806157,0.03189417,0.019833261,0.1006948,0.0039728954
10,0.47945344,0.0532596,0.045597963,0.03255567,0.43385547,0.02070393
11,0.37971824,0.08262814,0.052019954,0.033100624,0.3276983,0.049527515
12,0.6192919,0.05447309,0.082477614,0.06374426,0.5368143,-0.009271171
13,0.6683722,0.09507864,0.13171306,0.097178675,0.5366591,-0.0021000355
14,0.4681279,0.06794526,0.075436234,0.053765338,0.39269167,0.014179919
15,0.7672644,0.13403447,0.14454241,0.09508233,0.622722,0.038952142
16,0.4717661,0.08573788,0.114943944,0.086108215,0.35682216,-0.00037033856
17,0.24889967,0.021110259,0.057770956,0.04006935,0.19112872,-0.01895909
18,0.6347337,0.051686835,0.09321522,0.0621805,0.54151845,-0.010493666
19,0.72051156,0.11791207,0.12487884,0.10514577,0.59563273,0.012766302
20,0.37208804,-0.01234708,0.056726743,0.0417441,0.3153613,-0.05409118
21,0.39433822,0.08761427,0.0916636,0.070389695,0.30267462,0.017224573
22,0.48763585,0.021224346,0.059960045,0.035842154,0.4276758,-0.014617808
23,0.2909815,0.042036176,0.04368984,0.026790882,0.24729165,0.015245294
24,0.4190041,0.049503975,0.085371874,0.058980357,0.33363223,-0.009476382
25,0.5745777,0.10115012,0.124654196,0.0946194,0.4499235,0.006530717
26,0.26944497,0.038060937,0.107170224,0.07112777,0.16227475,-0.033066835
27,0.6220797,0.082757585,0.14373747,0.0911883,0.4783422,-0.008430712
28,0.6083247,0.05454086,0.06456771,0.04310112,0.543757,0.011439741
29,0.70778763,0.08871132,0.10932107,0.07207344,0.5984666,0.016637884
30,0.33969602,0.045083903,0.08101256,0.047353163,0.25868344,-0.0022692606
31,0.077735215,0.0212847,0.03846157,0.023780528,0.039273646,-0.002495829
32,0.45018965,0.07595437,0.1194798,0.09317912,0.33070984,-0.017224751
33,0.52525795,0.005011696,0.04367844,0.022464346,0.4815795,-0.01745265
34,0.20317674,0.028351557,0.029105509,0.018096354,0.17407122,0.010255203
35,0.6403333,0.1052323,0.14188632,0.09022899,0.49844697,0.015003309
36,0.6549043,0.19255976,0.20053414,0.15014014,0.45437017,0.042419627
37,0.20204152,-0.01824832,0.05210501,0.033359822,0.14993651,-0.05160814
38,0.63931775,0.036641426,0.06889642,0.050497986,0.57042134,-0.01385656
39,0.42002136,0.06307035,0.09207485,0.06275652,0.3279465,0.0003138259
40,0.40220702,0.0062070373,0.02311875,0.017426165,0.37908828,-0.011219127
41,0.477525,0.051850308,0.07142845,0.04597457,0.40609655,0.0058757365
42,0.45919403,0.08462572,0.11461862,0.08469028,0.3445754,-6.455928e-05
43,0.38804555,0.016827557,0.058584116,0.03503881,0.32946143,-0.018211253
44,0.23063885,0.035001144,0.043671608,0.030679893,0.18696724,0.004321251
45,0.56111294,0.032137092,0.087278165,0.06458452,0.47383478,-0.03244743
46,0.80524594,0.11765449,0.11444364,0.093457535,0.6908023,0.024196953
47,0.48914877,0.07013482,0.08002104,0.052604012,0.4091277,0.017530806
48,0.67410606,0.14472955,0.17928956,0.12463422,0.49481648,0.020095333
49,0.7009245,0.0876198,0.11179781,0.078791134,0.5891267,0.008828662
50,0.5728891,0.0059813103,0.035486795,0.024467397,0.5374023,-0.018486086
51,0.3766683,0.039808083,0.066223264,0.043230057,0.31044504,-0.0034219734
52,0.6518018,0.12019368,0.13029718,0.098780215,0.52150464,0.021413468
