cell,rho_selectivity_struct,rho_top1_struct,rho_selectivity_vs_top1,p_selectivity_vs_top1,n_features_direct,sign_ok,weak_ok,agree
ckpt_mlm_s42_token:14,-0.0444239094173002,-0.025260686441847,0.9598958793481259,0.0,2560,True,True,True
ckpt_clm_s42:14,-0.1219452552902611,-0.1345747866935404,0.890263416711947,0.0,2560,True,True,True
