arm,causal,layer,rel_depth,probe_helix_f1,probe_helix_auroc,probe_strand_f1,probe_strand_auroc,probe_burial_f1,probe_burial_auroc,contact_p_at_L5,contact_n_proteins
ckpt_mlm_s42_token,False,7,25%,0.5847991079457574,0.6716505684810072,0.4298738876453568,0.6921859334385444,0.6479342144688218,0.7056856382630425,0.02812781603614599,150
ckpt_clm_s42,True,7,25%,0.6290835924638741,0.7286295312457842,0.48719646799117,0.7637896507663902,0.6708294441404615,0.7261968481038401,0.02561595199109903,150
ckpt_mlm_s43_token,False,7,25%,0.5806780525108336,0.6717928062325328,0.43083976294308396,0.6934305858553038,0.6520621073532763,0.7042685340965866,0.03556009810994221,150
ckpt_clm_s43,True,7,25%,0.6182222222222222,0.7166197269828947,0.46725735818311437,0.752120808319924,0.6640774142584425,0.7247098289286074,0.024704641201862516,150
ckpt_mlm_s44_token,False,7,25%,0.5828867388411323,0.6694735251392807,0.4315658343714456,0.6919572896037052,0.6553970425379454,0.706491818576604,0.03584338302623481,150
ckpt_clm_s44,True,7,25%,0.6107372285102478,0.7211361678035126,0.47459615077037903,0.7529801220757519,0.6662965382103201,0.7239197200010452,0.03383319325845617,150
