feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,-0.003800657,-0.034772065,0.015515002,0.010569608,-0.01931566,-0.04534167
1,0.028195474,0.033114094,0.024192438,0.017711407,0.004003037,0.015402688
2,0.2911031,0.13855319,0.25219157,0.17062001,0.03891152,-0.032066822
3,0.6190161,0.27957085,0.4089135,0.30818146,0.21010262,-0.028610617
4,0.7293397,0.27065545,0.43613976,0.28214872,0.29319996,-0.011493266
5,0.051013827,0.03677013,0.049229406,0.032532092,0.0017844215,0.0042380393
6,0.6290513,0.2528429,0.31306595,0.23080684,0.31598538,0.02203606
7,0.25861695,0.15608035,0.19154161,0.14773402,0.06707534,0.008346334
8,0.7607303,0.35389343,0.5261695,0.37744942,0.23456085,-0.023555994
9,-0.0013945202,-0.008767838,0.03114003,0.019303609,-0.03253455,-0.028071446
10,0.015692685,-0.053816892,0.020430047,0.0068833716,-0.0047373623,-0.060700264
11,0.04945743,-0.023980003,0.049254343,0.026929576,0.00020308793,-0.05090958
12,0.1413717,0.038673934,0.08445771,0.06076787,0.056913987,-0.022093937
13,0.5317131,0.22970736,0.32295728,0.22958417,0.20875585,0.0001231879
14,0.023034582,-0.01638778,0.022586368,0.020180084,0.0004482139,-0.036567863
15,-0.018698052,0.13447423,0.023098145,0.014372737,-0.041796196,0.1201015
16,0.57105607,0.26096854,0.4012544,0.26669014,0.16980168,-0.005721599
17,0.54048944,0.278324,0.388325,0.2808009,0.15216443,-0.0024769008
18,0.6889313,0.33781043,0.42572868,0.3123876,0.2632026,0.025422841
19,0.06893497,0.06003942,0.056194562,0.03495803,0.012740407,0.025081389
20,0.0892286,0.030656265,0.07974678,0.051657103,0.0094818175,-0.021000838
21,0.06778556,-0.023963245,0.046042494,0.02729044,0.021743067,-0.051253684
22,0.9612989,0.46101767,0.70368356,0.46823293,0.25761533,-0.0072152615
23,0.7406856,0.16717365,0.23033004,0.17048822,0.51035553,-0.0033145696
24,0.6911541,0.2204856,0.3851102,0.24739817,0.30604392,-0.02691257
25,0.8538146,0.49198014,0.65207505,0.51245666,0.20173955,-0.02047652
26,0.026738478,0.015187329,0.037597723,0.020532377,-0.010859245,-0.0053450484
27,-0.0032673713,0.11992404,0.008943241,0.0047943583,-0.012210612,0.11512968
28,0.28398946,0.17803757,0.18967296,0.15560032,0.0943165,0.022437245
29,0.7487854,0.29067406,0.4122141,0.28537625,0.33657128,0.00529781
30,0.14074379,0.07613744,0.08638853,0.04967446,0.054355264,0.02646298
31,0.12566338,0.094353594,0.06383534,0.04114366,0.061828047,0.053209934
32,0.054307435,0.038754385,0.035143796,0.025443288,0.019163638,0.013311097
33,0.5555566,0.23491526,0.31637475,0.21701083,0.23918185,0.01790443
34,0.5795913,0.37960833,0.47614837,0.31184003,0.10344291,0.067768306
35,0.4518926,0.23268321,0.27701414,0.2106954,0.17487848,0.02198781
36,0.59344643,0.3797004,0.43673,0.3268853,0.15671644,0.05281508
37,0.8287381,0.3307589,0.42149067,0.27658534,0.40724742,0.05417356
38,0.022494327,0.05524894,0.022026418,0.020478277,0.0004679095,0.03477066
39,0.6056831,0.20611772,0.28782147,0.19905041,0.31786162,0.007067308
40,0.01841713,0.015520744,0.025334233,0.015360967,-0.006917104,0.00015977677
41,0.14978859,0.08034487,0.1159949,0.08806069,0.033793688,-0.0077158213
42,0.12618011,0.12609106,0.12447446,0.09452654,0.001705654,0.031564526
43,0.912674,0.42951572,0.57298446,0.39728492,0.33968955,0.032230794
44,0.8046375,0.5974135,0.7341541,0.5316312,0.07048339,0.06578231
45,0.042967364,0.0071823425,0.017554494,0.011816096,0.02541287,-0.004633753
46,0.21532637,0.13139233,0.2040421,0.13646227,0.011284262,-0.0050699413
47,0.47246224,0.16852506,0.24891411,0.1802749,0.22354813,-0.011749849
48,0.8479698,0.39681792,0.48907897,0.36716613,0.3588908,0.02965179
49,0.9063605,0.41708878,0.6314759,0.3991609,0.27488458,0.017927885
50,0.04885233,0.06216473,0.049502395,0.03934458,-0.0006500669,0.022820152
51,0.82041544,0.36139703,0.5307848,0.35626495,0.28963065,0.005132079
52,0.5497748,0.2368075,0.3573696,0.22027987,0.19240522,0.016527623
53,0.54114205,0.17848772,0.2548368,0.17558752,0.28630525,0.002900198
54,0.0799253,0.06473594,0.054752856,0.036744174,0.025172442,0.027991768
55,0.7813514,0.2835821,0.4182983,0.27525687,0.36305308,0.008325219
56,0.069381215,-0.009456861,0.060644418,0.033786837,0.008736797,-0.0432437
57,0.037137292,0.023800196,0.015506497,0.00856114,0.021630796,0.015239056
58,0.05014631,0.03386373,0.02021986,0.016161136,0.02992645,0.017702594
59,0.19646434,0.12439403,0.167192,0.11199175,0.029272348,0.012402281
60,0.08404238,0.009125917,0.07478425,0.055573516,0.009258129,-0.046447597
61,0.05214291,0.06275798,0.015915986,0.016121648,0.036226925,0.046636328
62,0.0018549825,0.1261654,0.02591858,0.014467794,-0.024063598,0.111697614
63,0.010251588,0.011398409,0.015677756,0.010194196,-0.0054261675,0.0012042122
64,0.049808197,0.006470416,0.04399912,0.027819589,0.005809076,-0.021349173
65,0.08808259,0.046438318,0.049256578,0.033479333,0.03882601,0.012958985
66,0.5606833,0.29029053,0.36426127,0.26484174,0.19642204,0.0254488
67,0.058510143,0.039404865,0.03995342,0.02150595,0.018556722,0.017898915
68,0.52969867,0.20558251,0.24423414,0.17474645,0.28546453,0.03083606
69,0.14852089,0.09964312,0.12728815,0.08869573,0.02123274,0.010947391
70,-0.0086144935,0.10142508,0.015163805,0.0069252485,-0.023778299,0.094499834
71,1.0765676,0.40880328,0.6313357,0.41139483,0.44523197,-0.0025915504
72,0.6914055,0.2519159,0.35322338,0.2601175,0.3381821,-0.008201599
73,0.015017768,0.037245475,0.006282612,0.0034115424,0.008735156,0.033833932
74,0.025920616,0.0065979445,0.029924553,0.020274896,-0.0040039364,-0.013676952
75,0.076192535,0.058476835,0.07100483,0.05926932,0.005187705,-0.00079248473
76,0.30424368,0.23148394,0.26189893,0.19100331,0.04234475,0.04048063
77,0.44266224,0.10437524,0.18045308,0.12146363,0.26220918,-0.017088383
78,0.057798926,0.0356149,0.035492156,0.021850996,0.02230677,0.013763905
79,0.275051,0.16909203,0.2356066,0.16720617,0.0394444,0.0018858612
80,1.0427325,0.54560745,0.84951836,0.57629335,0.19321412,-0.030685902
81,0.028636927,0.049023706,0.01925089,0.012815442,0.009386037,0.036208265
82,0.034608375,0.06621467,0.07852437,0.05277819,-0.043916,0.013436485
83,0.10195289,0.059706453,0.07713761,0.05053371,0.024815276,0.009172745
84,0.16503489,0.12646453,0.11565843,0.0795318,0.049376458,0.046932735
85,0.6385498,0.37958094,0.41541043,0.30635366,0.22313938,0.07322729
86,0.8215783,0.41929626,0.60720617,0.39953318,0.21437216,0.019763082
87,1.1468912,0.6179374,0.95823485,0.66319054,0.18865639,-0.045253158
88,0.23923342,0.2249057,0.12803867,0.09781964,0.111194745,0.12708606
89,0.042126138,0.031313792,0.017948503,0.015769303,0.024177635,0.015544489
90,0.006194229,0.03742388,0.021158459,0.016300106,-0.01496423,0.021123772
91,0.04513301,0.038511846,0.030037278,0.02653241,0.015095731,0.0119794365
92,0.070680305,0.16355924,0.055017777,0.04078266,0.015662529,0.12277658
93,0.022859508,0.08076034,0.023629092,0.0204569,-0.0007695835,0.060303435
94,0.2504165,0.17807287,0.2218582,0.17579901,0.028558284,0.0022738576
