feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.55257183,0.14693438,0.16698924,0.114348486,0.3855826,0.03258589
1,0.4215325,0.05763574,0.10167036,0.067306094,0.31986216,-0.009670354
2,0.34054223,0.050013598,0.057527475,0.04594235,0.28301474,0.004071247
3,0.44708675,0.03905099,0.06811273,0.04142929,0.37897402,-0.0023782998
4,0.27174067,0.037111722,0.046843104,0.031566095,0.22489756,0.0055456273
5,0.40499616,0.080964744,0.11335149,0.08728558,0.29164466,-0.006320834
6,0.36991695,0.069616884,0.10459163,0.06968441,0.2653253,-6.752461e-05
7,0.53096455,0.064223394,0.08600902,0.0702597,0.44495553,-0.006036304
8,0.4348113,0.08736441,0.08028425,0.060432516,0.35452706,0.026931897
9,0.32756844,0.04232279,0.075301304,0.045304082,0.25226712,-0.002981294
10,0.20123756,0.025834128,0.039965823,0.031003332,0.16127174,-0.0051692035
11,0.43097904,0.053079996,0.061377168,0.04179557,0.36960188,0.011284426
12,0.49222925,0.07216758,0.091106035,0.063565604,0.40112323,0.008601978
13,0.47059956,0.067264184,0.11138681,0.074019626,0.35921276,-0.0067554414
14,0.37483853,0.05264544,0.09270163,0.06301484,0.28213692,-0.010369401
15,0.4664821,0.040206976,0.05488228,0.041543573,0.4115998,-0.0013365969
16,0.43621626,0.061843075,0.07226459,0.05515959,0.36395168,0.0066834837
17,0.47301704,0.1140208,0.09892018,0.07548358,0.37409687,0.03853722
18,0.5217542,0.114376046,0.120231986,0.096941106,0.40152222,0.01743494
19,0.46215132,0.066330396,0.09078154,0.06616221,0.37136978,0.00016818196
20,0.50992584,0.026399355,0.06821404,0.045862447,0.4417118,-0.019463092
21,0.4077855,0.05034791,0.06628873,0.055020444,0.34149677,-0.0046725348
22,0.5280512,0.06950313,0.12065248,0.07155783,0.4073987,-0.0020546988
23,0.41877922,0.005227366,0.027321866,0.019112445,0.39145735,-0.013885079
24,0.45577738,0.106560476,0.08934203,0.06670503,0.36643535,0.039855443
25,0.48690927,0.06115288,0.077374786,0.060144372,0.40953448,0.0010085069
26,0.5229043,0.07393027,0.0924685,0.06715162,0.43043578,0.00677865
27,0.27131018,0.051689323,0.051792078,0.038610034,0.2195181,0.013079289
28,0.60996836,0.09303744,0.1352829,0.09892346,0.47468546,-0.0058860183
29,0.39161298,0.06489062,0.06996901,0.043914117,0.32164395,0.020976506
30,0.37974903,0.13084024,0.11773262,0.091295734,0.26201642,0.039544508
31,0.37015346,0.066482715,0.06963939,0.05335865,0.30051407,0.013124064
32,0.4243086,0.05110947,0.064378284,0.054965954,0.3599303,-0.0038564838
33,0.34699404,0.026554257,0.057523638,0.03527498,0.2894704,-0.008720722
34,0.49813744,0.03818383,0.07570796,0.056293387,0.4224295,-0.018109556
35,0.45656544,0.0585103,0.07405378,0.05263688,0.38251168,0.0058734193
36,0.37910262,0.03518995,0.053838897,0.04071918,0.3252637,-0.0055292323
37,0.53792346,0.059263892,0.060472287,0.043009426,0.47745118,0.016254466
38,0.33705345,0.09700039,0.09000518,0.06538936,0.24704826,0.031611033
39,0.54190516,0.085908964,0.12337279,0.0871081,0.41853237,-0.0011991337
40,0.2941631,0.08809186,0.07822813,0.04450583,0.21593498,0.043586027
41,0.45241845,0.10187232,0.10222981,0.06438782,0.35018864,0.037484497
42,0.41751155,0.03191524,0.061729383,0.044959933,0.35578218,-0.013044693
43,0.5946306,0.12222199,0.13070479,0.1045285,0.4639258,0.01769349
44,0.44209954,0.057080507,0.09337421,0.065928295,0.34872532,-0.008847788
45,0.47909304,0.09575051,0.11933883,0.075620726,0.3597542,0.020129785
46,0.4736428,0.038936526,0.061592925,0.04303145,0.41204986,-0.004094925
47,0.66408885,0.07033011,0.11310039,0.08064656,0.55098844,-0.010316446
48,0.46525988,0.033298012,0.069128655,0.043467604,0.39613122,-0.010169592
49,0.555187,0.041627552,0.07806665,0.052093066,0.47712034,-0.010465514
50,0.4902419,0.07067732,0.09258882,0.06607167,0.39765307,0.004605651
51,0.5173928,0.046129804,0.087288134,0.052956205,0.43010467,-0.0068264008
52,0.33318886,0.050912905,0.062623605,0.047822945,0.27056527,0.0030899607
53,0.5742265,0.049176868,0.06631857,0.05129823,0.5079079,-0.0021213628
54,0.479946,0.06491409,0.10231533,0.06705893,0.37763065,-0.002144836
55,0.5424308,0.109810986,0.11189096,0.091068745,0.43053985,0.018742241
56,0.4619574,0.055437826,0.113464475,0.07831006,0.34849292,-0.022872232
57,0.46271002,0.061713733,0.09054868,0.06441113,0.37216133,-0.0026974007
58,0.41912976,0.027118314,0.06688919,0.04265606,0.35224056,-0.015537746
59,0.5068878,0.08898266,0.14060608,0.100807525,0.36628172,-0.011824869
60,0.31953618,0.025978394,0.052871596,0.033249743,0.2666646,-0.0072713494
61,0.22270048,0.0050167628,0.051293325,0.035576154,0.17140715,-0.03055939
62,0.42928964,0.077968016,0.06984438,0.048516493,0.35944527,0.029451523
63,0.47373125,0.058699206,0.1046705,0.072497964,0.36906075,-0.013798758
64,0.41857752,0.057377215,0.075024724,0.049220134,0.3435528,0.008157082
65,0.41789788,0.03650505,0.06535666,0.041817322,0.3525412,-0.0053122714
66,0.43824875,0.07718523,0.06840433,0.045595177,0.36984444,0.031590052
67,0.49740896,0.04228053,0.0637629,0.05177779,0.43364605,-0.009497263
68,0.3978727,0.06276096,0.08772353,0.06694013,0.31014916,-0.004179172
69,0.461025,0.07804878,0.11991857,0.086049765,0.3411064,-0.008000985
70,0.38783446,0.029338967,0.08495344,0.049659863,0.302881,-0.020320896
71,0.470818,0.079475805,0.09127955,0.063762546,0.37953848,0.01571326
72,0.40397257,0.047112443,0.08256177,0.047408625,0.3214108,-0.00029618293
73,0.6143544,0.0099392105,0.042510197,0.028679784,0.57184416,-0.018740574
74,0.36440495,0.04090585,0.040689506,0.024897765,0.32371545,0.016008083
75,0.5371908,0.057968628,0.07609192,0.05920721,0.46109888,-0.0012385808
76,0.4245204,0.081083864,0.11087731,0.08297329,0.3136431,-0.0018894225
77,0.43913826,0.04887964,0.07594409,0.05135082,0.36319417,-0.0024711825
78,0.407539,0.06220593,0.07167788,0.05220144,0.33586115,0.010004491
79,0.47156549,0.008360527,0.04686569,0.029060835,0.42469978,-0.020700308
80,0.41948685,0.059168655,0.050873853,0.04107653,0.368613,0.018092126
81,0.30362856,0.034054723,0.052406084,0.034406863,0.2512225,-0.00035214052
82,0.51501334,0.04546977,0.07392879,0.053170037,0.44108456,-0.007700268
83,0.3053557,0.08241618,0.074365675,0.0643243,0.23099002,0.01809188
84,0.48435837,0.079903625,0.07794516,0.05440588,0.4064132,0.025497746
85,0.3808588,0.02279749,0.07810056,0.047306664,0.30275825,-0.024509175
86,0.39071876,0.07448934,0.087223314,0.059330035,0.30349544,0.015159305
87,0.4513078,0.06730854,0.08468197,0.055524707,0.36662585,0.011783831
