feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.08010507,0.17096825,0.053837217,0.035656225,0.026267849,0.13531202
1,1.5643667,0.5315007,0.75303495,0.55112696,0.81133175,-0.01962626
2,0.4049673,0.19171073,0.21546237,0.15637383,0.18950494,0.035336897
3,0.997328,0.42004344,0.6179662,0.41452742,0.3793618,0.0055160224
4,0.01999913,-0.05891662,0.018030997,0.007275934,0.0019681323,-0.06619255
5,0.11265421,0.03871244,0.05878688,0.036822952,0.05386733,0.0018894859
6,0.016582502,0.1553218,0.017180998,0.011364681,-0.0005984958,0.14395712
7,0.18449105,0.113540165,0.10787195,0.08469155,0.0766191,0.028848618
8,0.048508365,0.05013152,0.024076274,0.020679925,0.024432091,0.029451594
9,0.04446511,-0.029496834,0.02034581,0.014741741,0.024119299,-0.044238575
10,1.0341067,0.25271988,0.39342615,0.26739132,0.64068055,-0.014671445
11,0.05647308,0.01911826,0.021494502,0.015889322,0.034978576,0.0032289382
12,0.017380087,0.03791739,0.005908034,0.007177025,0.011472053,0.030740365
13,1.4309384,0.324534,0.4719488,0.37269098,0.95898956,-0.048156977
14,1.6033728,0.04419353,0.26662248,0.2367948,1.3367503,-0.19260126
15,0.0071767094,0.03830448,0.012531869,0.013512084,-0.0053551598,0.024792397
16,0.8830243,0.32939225,0.43571854,0.31980833,0.44730574,0.00958392
17,0.057852153,0.013251031,0.06261285,0.043813936,-0.0047606938,-0.030562906
18,0.89969736,0.6397275,0.6906663,0.55576736,0.20903105,0.083960116
19,1.2370747,0.46242246,0.5679544,0.40271682,0.6691203,0.059705645
20,0.033683505,-0.035342738,0.024381112,0.015186298,0.009302393,-0.050529037
21,0.023893466,0.031472884,0.010691764,0.011275148,0.013201702,0.020197736
22,0.08678581,0.04046523,0.054497074,0.031138873,0.032288734,0.0093263555
23,0.09395041,0.05390331,0.05662782,0.042212874,0.037322592,0.011690438
24,1.1332328,0.5330777,0.6586677,0.5012422,0.47456515,0.031835496
25,1.1458887,0.5359368,0.73243666,0.52545565,0.41345203,0.010481119
26,1.0165092,0.4852445,0.6039785,0.44328824,0.41253066,0.041956276
27,0.2635069,0.12535748,0.15203394,0.1068594,0.11147295,0.018498078
28,0.02726142,0.033375144,0.01500265,0.010996552,0.012258769,0.022378592
29,1.026004,0.35216942,0.46090683,0.32896072,0.5650971,0.023208708
30,0.72277343,0.3850356,0.5178082,0.35287246,0.20496523,0.032163143
31,0.9062502,0.375556,0.49234766,0.34808108,0.41390252,0.02747491
32,0.12803936,0.011564981,0.024898347,0.022742832,0.10314101,-0.011177851
33,0.036209133,0.094857275,0.036628198,0.020110743,-0.00041906536,0.074746534
34,0.29020348,0.07224904,0.20878121,0.11032514,0.08142227,-0.038076103
35,1.441809,0.48345292,0.61694896,0.4562036,0.8248601,0.027249306
36,0.07204787,-0.020487962,0.06315664,0.034116432,0.008891225,-0.054604396
37,0.6218137,0.23357306,0.2796293,0.20873502,0.34218442,0.024838045
38,0.05355654,0.15593141,0.04093638,0.028912157,0.0126201585,0.12701926
39,0.04459903,-0.039263517,0.04459896,0.021500954,7.0780516e-08,-0.06076447
40,1.057093,0.103700124,0.19693464,0.13472758,0.8601584,-0.031027459
41,0.7343806,0.304565,0.42692274,0.3152261,0.30745786,-0.010661095
42,1.1587944,0.35545695,0.44873276,0.3409436,0.71006167,0.014513344
43,1.1302359,0.43715063,0.5480462,0.41940126,0.58218974,0.01774937
44,0.09320491,0.09404506,0.04989406,0.039873336,0.043310847,0.054171722
45,1.1335886,0.13264567,0.23518792,0.1780709,0.89840066,-0.045425236
46,1.3177831,0.6946417,0.87552536,0.6480939,0.44225776,0.04654783
47,0.66873795,0.2267148,0.32560167,0.22168747,0.34313628,0.005027339
48,0.047467772,0.039588593,0.030852277,0.025449103,0.016615495,0.01413949
49,0.57575405,0.29260537,0.27866524,0.20164374,0.2970888,0.090961635
50,0.6074692,0.29596648,0.4031903,0.28235474,0.20427889,0.013611734
51,1.0338486,0.38240287,0.50568867,0.3754241,0.52816,0.00697878
52,0.7887513,0.21241942,0.26196685,0.18989821,0.5267844,0.022521213
53,1.0818983,0.32491386,0.48873502,0.34613934,0.5931633,-0.021225482
54,1.2630309,0.32883814,0.50182426,0.37120464,0.7612066,-0.042366505
