arm,causal,layer,rel_depth,probe_helix_f1,probe_helix_auroc,probe_strand_f1,probe_strand_auroc,probe_burial_f1,probe_burial_auroc,contact_p_at_L5,contact_n_proteins
ckpt_mlm_s42_token,False,14,50%,0.6107797658493483,0.707252515146583,0.44872473277595515,0.7218456253610184,0.6634844868735084,0.7265950362105775,0.01907669351706731,150
ckpt_clm_s42,True,14,50%,0.6640447411149197,0.7655946616835185,0.517527574533144,0.8011193017132896,0.6732569558101473,0.7374546769422737,0.032567535406540685,150
ckpt_mlm_s43_token,False,14,50%,0.6074638671172791,0.6950241026721176,0.43855840208423796,0.7034753875789084,0.6522249421548573,0.7195138350699162,0.029231394837018296,150
ckpt_clm_s43,True,14,50%,0.6549889135254989,0.7601748243379327,0.5211112336015875,0.8001577359770186,0.6766781021425335,0.7381262108682229,0.02793730584485239,150
ckpt_mlm_s44_token,False,14,50%,0.5936814561126718,0.7034088232708612,0.4391663140076174,0.7083340424763791,0.6679619323607864,0.7272573867921246,0.027802096848093913,150
ckpt_clm_s44,True,14,50%,0.6552465702632555,0.7606687082604038,0.5111135088476478,0.7913939141343813,0.6728441384710757,0.7369318662656582,0.0330952581222688,150
