feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.36351055,0.2436486,0.13901424,0.09288331,0.2244963,0.1507653
1,1.2055005,0.33971536,0.47656956,0.33853078,0.72893095,0.0011845827
2,0.5814488,0.17220645,0.22707047,0.1595127,0.35437834,0.012693748
3,0.88823175,0.30531895,0.47196183,0.31237274,0.41626993,-0.0070537925
4,0.18279731,0.017281845,0.07794146,0.045479167,0.10485585,-0.028197322
5,0.862263,0.17927203,0.24691683,0.17055897,0.6153462,0.008713052
6,0.63327014,0.31228745,0.37291995,0.25620133,0.2603502,0.056086123
7,0.21104656,0.12787628,0.1311893,0.10210227,0.07985726,0.02577401
8,0.109113604,0.0796024,0.05199252,0.03996246,0.057121083,0.03963994
9,0.09380817,0.002242055,0.036018454,0.023529062,0.057789713,-0.021287007
10,1.2167947,0.26128423,0.32198998,0.21551205,0.8948047,0.04577218
11,0.6823147,0.15251067,0.20157881,0.14954163,0.4807359,0.0029690415
12,0.19835109,0.06481958,0.041500974,0.032331675,0.15685011,0.032487907
13,0.90576446,0.23384407,0.36048567,0.23602255,0.5452788,-0.0021784753
14,0.5601291,0.08049936,0.116785936,0.08683672,0.44334316,-0.0063373595
15,0.12614214,0.04754597,0.03137574,0.024349906,0.09476641,0.023196064
16,0.936408,0.270051,0.3669063,0.25706476,0.5695017,0.012986243
17,0.6349727,0.2702247,0.31727818,0.24474967,0.31769451,0.025475025
18,0.991977,0.52241564,0.53716725,0.43337494,0.45480973,0.0890407
19,0.5717201,0.2474765,0.3117905,0.22111891,0.25992963,0.026357591
20,0.024546364,-0.034265198,0.0257665,0.013166022,-0.001220135,-0.04743122
21,0.100589946,0.034243982,0.016895229,0.01342046,0.08369472,0.020823523
22,0.18113323,0.06839676,0.09351058,0.050980438,0.08762264,0.017416324
23,0.8293095,0.24825168,0.34942487,0.2550037,0.47988465,-0.006752014
24,0.9465426,0.36802754,0.49682614,0.37995765,0.44971648,-0.011930108
25,0.6608414,0.23831394,0.36916035,0.2591247,0.29168105,-0.020810753
26,0.8041215,0.27741763,0.35441864,0.2633529,0.44970286,0.014064729
27,0.37502164,0.15284172,0.19190818,0.13810782,0.18311346,0.014733896
28,0.36430252,0.15155198,0.19905177,0.14328569,0.16525075,0.008266285
29,1.1841556,0.3420896,0.3893498,0.27265728,0.79480577,0.06943232
30,0.62815315,0.26189297,0.2953519,0.20724168,0.33280125,0.05465129
31,0.90007555,0.21280734,0.28375864,0.20276913,0.6163169,0.010038212
32,0.7419996,0.17812937,0.2634873,0.19027546,0.47851232,-0.0121460855
33,0.016396318,0.09193618,0.028175397,0.015885944,-0.011779079,0.07605024
34,0.21033302,0.04638536,0.1446514,0.08313105,0.06568162,-0.036745694
35,1.3868135,0.2756897,0.39020592,0.28913385,0.9966076,-0.013444155
36,0.14241411,-0.0021907652,0.10839184,0.060824852,0.03402227,-0.06301562
37,0.7689546,0.21195464,0.27941447,0.19827044,0.4895401,0.013684198
38,0.5090199,0.22045852,0.17287618,0.12506323,0.33614373,0.0953953
39,0.005314828,-0.032670237,0.032285918,0.017861458,-0.02697109,-0.050531693
40,0.81381476,0.17440155,0.28139785,0.1687691,0.53241694,0.005632445
41,0.35656893,0.15361825,0.21156174,0.1571963,0.1450072,-0.003578052
42,1.4715782,0.23191322,0.34068176,0.25173777,1.1308964,-0.01982455
43,0.80218107,0.26959386,0.327223,0.2577387,0.47495806,0.011855155
44,0.23967884,0.090300456,0.08887539,0.06039112,0.15080345,0.029909335
45,1.0380335,0.2127035,0.3236659,0.21843255,0.7143676,-0.0057290494
46,0.69780695,0.3217697,0.3551564,0.26519036,0.34265056,0.05657935
47,0.786248,0.12297933,0.17867866,0.11054861,0.60756934,0.01243072
48,1.0506207,0.12629902,0.23229213,0.15192594,0.81832856,-0.025626913
49,0.7278231,0.28298107,0.28621966,0.19865927,0.44160342,0.0843218
50,0.6049258,0.23989345,0.32504854,0.22421154,0.27987728,0.015681908
51,1.1398423,0.31711742,0.3585044,0.26358145,0.78133786,0.053535968
