arm,causal,layer,rel_depth,probe_helix_f1,probe_helix_auroc,probe_strand_f1,probe_strand_auroc,probe_burial_f1,probe_burial_auroc,contact_p_at_L5,contact_n_proteins
ckpt_mlm_s42_token,False,11,38%,0.5935058418751344,0.6808493618895346,0.4327690833599489,0.7021257078536949,0.6598198665197953,0.7117247420655605,0.02359222067377382,150
ckpt_clm_s42,True,11,38%,0.6480310593455352,0.7529914273081513,0.5196964624483874,0.798239629749969,0.6734460321093418,0.7374686812758396,0.03071318133594205,150
ckpt_mlm_s43_token,False,11,38%,0.5990122210606006,0.6878648735920705,0.43414765100671143,0.6997006513801214,0.6616336713864498,0.7136647166377011,0.03881814068768203,150
ckpt_clm_s43,True,11,38%,0.6466393230610058,0.7511688240193779,0.5190728846690869,0.7972238339109625,0.6733674944159769,0.7373802907860249,0.02873280002678368,150
ckpt_mlm_s44_token,False,11,38%,0.5927299967894981,0.677276891984692,0.43757330205778866,0.7018956360626315,0.6600777705767984,0.7113923711268109,0.03499088365064015,150
ckpt_clm_s44,True,11,38%,0.6442525113985988,0.747833294456886,0.5101232155457852,0.7911606092957051,0.6724605482405985,0.7357566242993587,0.03296623588225152,150
