feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.3654585,0.03607351,0.077710085,0.053893186,0.2877484,-0.017819677
1,0.4357911,0.078850426,0.09195616,0.07181421,0.34383494,0.0070362166
2,0.39307332,0.058218606,0.1246376,0.08173947,0.26843572,-0.023520865
3,0.22142495,0.043213718,0.05705731,0.04097615,0.16436765,0.0022375658
4,0.40437695,0.04302603,0.06269373,0.04120372,0.3416832,0.0018223114
5,0.57614565,0.08394723,0.0964075,0.062161446,0.47973815,0.02178578
6,0.5054747,0.051389802,0.10743943,0.07357827,0.39803526,-0.022188466
7,0.40534312,0.014773575,0.07380381,0.04629144,0.3315393,-0.031517867
8,0.49760297,0.03585481,0.08899386,0.06343243,0.4086091,-0.027577624
9,0.6212214,0.10564504,0.12774865,0.08920118,0.49347275,0.016443856
10,0.52400285,0.13040769,0.1398909,0.0997702,0.38411194,0.030637488
11,0.4931679,0.059074823,0.08653415,0.06622734,0.40663376,-0.0071525164
12,0.7341928,0.11047513,0.14167106,0.10648094,0.5925217,0.003994189
13,0.5589464,0.08426103,0.118077375,0.08710204,0.440869,-0.0028410107
14,0.30710706,0.061141394,0.076841936,0.054407958,0.23026513,0.006733436
15,0.6858527,0.14996772,0.14407359,0.10953516,0.5417791,0.040432557
16,0.31863552,0.07084473,0.08064567,0.056157958,0.23798984,0.014686774
17,0.23628789,0.031261448,0.0421582,0.028325118,0.19412969,0.0029363297
18,0.5999982,0.04821976,0.0894771,0.059851635,0.51052105,-0.011631876
19,0.5887369,0.05088737,0.08671202,0.051416636,0.5020249,-0.0005292669
20,0.22583172,0.041772112,0.045446683,0.03202109,0.18038504,0.009751022
21,0.43953285,0.053938776,0.07710492,0.05892805,0.36242792,-0.004989274
22,0.64179945,0.10529014,0.1293105,0.09574341,0.51248896,0.009546727
23,0.39380276,0.043651924,0.06679573,0.05238412,0.32700703,-0.008732196
24,0.6321192,0.068064354,0.13638069,0.08558651,0.4957385,-0.017522156
25,0.5005471,0.098765336,0.12471716,0.09362598,0.37582994,0.0051393583
26,0.3982394,0.07783738,0.09489333,0.06843766,0.30334607,0.00939972
27,0.31877822,0.05499777,0.08605216,0.061608654,0.23272607,-0.0066108853
28,0.5750747,0.15899983,0.14816898,0.11674598,0.4269057,0.042253852
29,0.44240415,0.06107136,0.081978664,0.06279209,0.36042547,-0.0017207339
30,0.4942142,0.029704735,0.09451025,0.06547868,0.39970395,-0.035773948
31,0.6323491,0.09749344,0.11717814,0.078112304,0.51517093,0.019381136
32,0.55556566,0.035785858,0.0859802,0.05421164,0.46958545,-0.018425781
33,0.65678954,0.11039482,0.12906738,0.091700986,0.5277222,0.018693835
34,0.54519105,0.08251419,0.10600595,0.06898588,0.43918508,0.01352831
35,0.6851413,0.10879023,0.14126769,0.09762103,0.54387367,0.011169195
36,0.69257665,0.13296795,0.12521486,0.094507225,0.5673618,0.038460724
37,0.6541566,0.12605637,0.13062523,0.09787033,0.5235314,0.028186046
38,0.44600737,0.018093485,0.037723206,0.02347446,0.40828416,-0.005380975
39,0.5996582,0.05367914,0.096883014,0.06955265,0.5027752,-0.015873514
40,0.47064438,0.0738903,0.09616945,0.06783746,0.37447494,0.006052837
41,0.38806137,0.06921123,0.08389247,0.06503174,0.3041689,0.0041794926
42,0.6276862,0.11815034,0.12649235,0.091960356,0.5011939,0.026189983
43,0.62060666,0.15686727,0.14688942,0.10854906,0.47371724,0.048318207
44,0.3221851,0.016567828,0.04031163,0.027494747,0.28187346,-0.010926919
45,0.62426084,0.08059905,0.11002839,0.07939441,0.51423246,0.0012046397
46,0.65450037,0.07762159,0.16766226,0.10783409,0.4868381,-0.030212507
47,0.54470694,0.062730394,0.08821495,0.05400476,0.456492,0.008725636
48,0.6269979,0.049843516,0.10646482,0.07071271,0.5205331,-0.020869192
49,0.39042112,0.049174197,0.065584086,0.046314586,0.32483703,0.002859611
50,0.39099345,0.04749711,0.07060951,0.049831934,0.32038394,-0.0023348257
51,0.41572037,0.04017344,0.069177635,0.048460532,0.34654275,-0.008287091
52,0.43228397,0.046119593,0.09927105,0.06871469,0.3330129,-0.0225951
53,0.52981603,0.11902291,0.11835947,0.08611155,0.41145656,0.03291136
54,0.48212656,0.08140632,0.0718516,0.053721443,0.41027495,0.027684875
55,0.52177775,0.098013826,0.103337824,0.074278414,0.41843992,0.023735411
56,0.5409528,0.067733236,0.07833392,0.057707146,0.4626189,0.01002609
57,0.46595517,0.06808709,0.08630593,0.06074282,0.37964922,0.007344272
58,0.6252258,0.08043636,0.14655523,0.09736655,0.47867054,-0.016930193
59,0.55080634,0.08231358,0.123799875,0.0857017,0.42700648,-0.0033881143
60,0.4083182,0.05260708,0.066688254,0.048655294,0.34162992,0.003951788
61,0.46020752,0.0755605,0.10561316,0.06566783,0.35459435,0.009892672
62,0.38080996,0.051588874,0.07126255,0.053001914,0.30954742,-0.0014130399
63,0.47445026,0.060501203,0.08181718,0.0537583,0.39263308,0.006742902
64,0.37185943,0.06493063,0.08674264,0.056863226,0.2851168,0.008067407
65,0.58035547,0.0890251,0.13719393,0.08732984,0.44316155,0.0016952604
66,0.52062064,0.07225925,0.10245841,0.068097726,0.41816223,0.004161522
67,0.45820028,0.058574017,0.0891228,0.058085684,0.36907747,0.0004883334
68,0.34734416,0.048520997,0.076985806,0.05192835,0.27035835,-0.0034073517
69,0.3439868,0.10883071,0.079559065,0.05975554,0.26442775,0.04907517
70,0.37606588,0.068717524,0.079825185,0.058899,0.2962407,0.009818524
71,0.46602547,0.06400652,0.11290465,0.074698955,0.3531208,-0.0106924325
72,0.5254513,0.07857131,0.10118,0.0736655,0.4242713,0.0049058124
73,0.6489725,0.062664025,0.096705124,0.058663726,0.5522674,0.0040002987
74,0.52206665,0.07741593,0.10450533,0.0775956,0.41756132,-0.00017967075
75,0.35678297,0.055548493,0.068936795,0.051559128,0.28784618,0.003989365
76,0.7826584,0.07396754,0.12279119,0.08179962,0.6598672,-0.00783208
77,0.48020142,0.08292301,0.08256797,0.061135154,0.39763346,0.021787856
78,0.5107716,0.067873195,0.10530646,0.07751657,0.40546513,-0.009643376
79,0.5970422,0.071404256,0.10217385,0.07020098,0.49486834,0.0012032762
80,0.47581512,0.05656098,0.090471745,0.06129846,0.38534337,-0.0047374815
81,0.5269974,0.07609425,0.09294823,0.07064454,0.43404916,0.005449705
82,0.72392654,0.09963395,0.14260168,0.09948376,0.5813249,0.0001501888
83,0.40477434,0.053448714,0.10922806,0.07028403,0.2955463,-0.016835317
84,0.56720364,0.01362148,0.048405506,0.027430696,0.5187981,-0.013809216
85,0.4767166,0.09741206,0.10216486,0.07676817,0.37455174,0.02064389
86,0.5598589,0.0712883,0.07589872,0.0538031,0.4839602,0.017485201
87,0.44790307,0.053821284,0.10380714,0.07629084,0.34409595,-0.022469554
88,0.4068078,0.06831522,0.08159436,0.06257749,0.32521343,0.0057377294
89,0.5468796,0.13085398,0.1533178,0.098926045,0.39356178,0.031927936
90,0.257152,-0.02931162,0.036193214,0.019073889,0.22095877,-0.04838551
91,0.62952036,0.087264135,0.13046539,0.09346208,0.49905497,-0.0061979443
