arm,causal,layer,rel_depth,probe_helix_f1,probe_helix_auroc,probe_strand_f1,probe_strand_auroc,probe_burial_f1,probe_burial_auroc,contact_p_at_L5,contact_n_proteins
ckpt_mlm_s42_token,False,7,25%,0.594188376753507,0.6792871118484096,0.43699532511687206,0.7026225205780418,0.6567914124441254,0.7095844148632341,0.02812781603614599,150
ckpt_clm_s42,True,7,25%,0.6212269449577853,0.7147295526568425,0.48589903820029345,0.7590522238725915,0.6701134848632654,0.7290968373406619,0.02561595199109903,150
ckpt_mlm_s43_token,False,7,25%,0.5964514643906931,0.6784346253369413,0.4322111500134662,0.6990053108367372,0.6554807661041199,0.7087555545687935,0.03556009810994221,150
ckpt_clm_s43,True,7,25%,0.6132136912945944,0.7050266702583863,0.4755016586002502,0.7466982944465074,0.6638406940063092,0.7241682590578749,0.024704641201862516,150
ckpt_mlm_s44_token,False,7,25%,0.5941295188188224,0.6760847703838062,0.4328099621007038,0.6985940465507282,0.6598925635881173,0.7099805849807024,0.03584338302623481,150
ckpt_clm_s44,True,7,25%,0.6206172124022022,0.7094096183522364,0.4733494187321781,0.7482759378739119,0.6643317731007168,0.7270327244307406,0.03383319325845617,150
